Id_D;Type;Value;Source;Type_T;Extract;Explanation
Test_DB;Civil_status;Definition;;INDIVIDUAL_EXT;Local_program_2;
Test_DB;Civil_status;1;;INDIVIDUAL_EXT;;
Test_DB;Civil_status;2;;INDIVIDUAL_EXT;;
Test_DB;Civil_status;3;;INDIVIDUAL_EXT;;
Test_DB;AtRisk_mortality;Definition;;INDIVIDUAL_EXT;Local_program_3;Definition of the period at risk for a mortality study
Test_DB;AtRisk_mortality;0;;INDIVIDUAL_EXT;;
Test_DB;AtRisk_mortality;1;;INDIVIDUAL_EXT;;
Test_DB;AtRisk_fertility;Definition;;INDIVIDUAL_EXT;Local_program_5;Definition of the period at risk for a fertility study
Test_DB;AtRisk_fertility;0;;INDIVIDUAL_EXT;;
Test_DB;AtRisk_fertility;1;;INDIVIDUAL_EXT;;
Test_DB;PrevChildIndicator;Definition;;INDIVIDUAL_EXT;Local_program_4;Life status of the previously born child
Test_DB;PrevChildIndicator;1;;INDIVIDUAL_EXT;;
Test_DB;PrevChildIndicator;2;;INDIVIDUAL_EXT;;
Test_DB;PrevChildIndicator;3;;INDIVIDUAL_EXT;;
Test_DB;ChildBirth;Definition;;INDIVIDUAL_EXT;Local_program_6;Birth of a child event
