Id_D;Id_I_1;Id_I_2;Relation
Test_DB;1148964;1945568;Child
Test_DB;1148964;1897563;Servant
Test_DB;1148964;1237852;Wife
Test_DB;1237852;1945568;Child
Test_DB;1237852;1148964;Husband
Test_DB;1378563;1945568;Father
Test_DB;1378563;1567526;Mother
Test_DB;1479856;1945568;Master
Test_DB;1548468;1945568;Father
Test_DB;1548468;1567526;Mother
Test_DB;1567526;1378563;Child
Test_DB;1567526;1548468;Child
Test_DB;1567526;1945568;Husband
Test_DB;1897563;1148964;Master
Test_DB;1945568;1378563;Child
Test_DB;1945568;1548468;Child
Test_DB;1945568;1148964;Father
Test_DB;1945568;1237852;Mother
Test_DB;1945568;1479856;Servant
Test_DB;1945568;1567526;Wife
