Id_D;Id_I;Type;Value;Day;Month;Year;DayFrac;Start_day;Start_month;Start_year;End_day;End_month;End_year;Source;Value_Id_C;Date_type
Test_DB;1148964;Civil_status;2;11;4;1825;;;;;;;;Local_program_2;;
Test_DB;1148964;Civil_status;3;15;4;1838;;;;;;;;Local_program_2;;
Test_DB;1148964;AtRisk_mortality;1;11;4;1825;;;;;;;;Local_program_3;;
Test_DB;1148964;AtRisk_mortality;0;8;11;1855;;;;;;;;Local_program_3;;
Test_DB;1237852;Civil_status;2;11;4;1825;;;;;;;;Local_program_2;;
Test_DB;1237852;AtRisk_fertility;1;11;4;1825;;;;;;;;Local_program_5;;
Test_DB;1237852;AtRisk_mortality;1;11;4;1825;;;;;;;;Local_program_3;;
Test_DB;1237852;ChildBirth;;18;11;1828;;;;;;;;Local_program_6;;Event
Test_DB;1237852;PrevChildIndicator;1;18;11;1828;;;;;;;;Local_program_4;;
Test_DB;1237852;AtRisk_fertility;0;15;9;1836;;;;;;;;Local_program_5;;
Test_DB;1237852;AtRisk_mortality;0;15;9;1836;;;;;;;;Local_program_3;;
Test_DB;1237852;AtRisk_fertility;1;10;8;1837;;;;;;;;Local_program_5;;
Test_DB;1237852;AtRisk_mortality;1;10;8;1837;;;;;;;;Local_program_3;;
Test_DB;1237852;AtRisk_fertility;0;15;4;1838;;;;;;;;Local_program_5;;
Test_DB;1237852;AtRisk_mortality;0;15;4;1838;;;;;;;;Local_program_3;;
Test_DB;1378563;Civil_status;1;18;2;1853;;;;;;;;Local_program_2;;
Test_DB;1378563;AtRisk_mortality;1;18;2;1853;;;;;;;;Local_program_3;;
Test_DB;1378563;AtRisk_fertility;1;18;2;1868;;;;;;;;Local_program_5;;
Test_DB;1378563;AtRisk_fertility;0;1;12;1874;;;;;;;;Local_program_5;;
Test_DB;1378563;AtRisk_mortality;0;1;12;1874;;;;;;;;Local_program_3;;
Test_DB;1548468;AtRisk_mortality;1;7;10;1855;0.01;;;;;;;Local_program_3;;
Test_DB;1548468;AtRisk_mortality;0;7;10;1855;0.02;;;;;;;Local_program_3;;
Test_DB;1548468;Civil_status;1;7;10;1855;;;;;;;;Local_program_2;;
Test_DB;1567526;Civil_status;2;16;9;1851;;;;;;;;Local_program_2;;
Test_DB;1567526;Civil_status;3;3;6;1878;;;;;;;;Local_program_2;;
Test_DB;1567526;AtRisk_fertility;1;16;9;1851;;;;;;;;Local_program_5;;
Test_DB;1567526;AtRisk_mortality;1;16;9;1851;;;;;;;;Local_program_3;;
Test_DB;1567526;ChildBirth;;18;2;1853;;;;;;;;Local_program_6;;Event
Test_DB;1567526;PrevChildIndicator;1;18;2;1853;;;;;;;;Local_program_4;;
Test_DB;1567526;ChildBirth;;7;10;1855;;;;;;;;Local_program_6;;Event
Test_DB;1567526;AtRisk_fertility;0;26;7;1871;;;;;;;;Local_program_5;;
Test_DB;1567526;AtRisk_mortality;0;4;8;1885;;;;;;;;Local_program_3;;
Test_DB;1945568;Civil_status;1;18;11;1828;;;;;;;;Local_program_2;;
Test_DB;1945568;Civil_status;2;16;9;1851;;;;;;;;Local_program_2;;
Test_DB;1945568;AtRisk_mortality;1;18;11;1828;;;;;;;;Local_program_3;;
Test_DB;1945568;AtRisk_mortality;0;8;6;1849;;;;;;;;Local_program_3;;
Test_DB;1945568;AtRisk_mortality;1;16;9;1851;;;;;;;;Local_program_3;;
Test_DB;1945568;AtRisk_mortality;0;3;6;1878;;;;;;;;Local_program_3;;
Test_DB;1567526;PrevChildIndicator;1;7;10;1855;0.01;;;;;;;Local_program_4;;
Test_DB;1567526;PrevChildIndicator;2;7;10;1855;0.02;;;;;;;Local_program_4;;
Test_DB;1897563;AtRisk_mortality;1;17;11;1836;;;;;;;;Local_program_3;;
Test_DB;1897563;AtRisk_mortality;0;12;1;1852;;;;;;;;Local_program_3;;
Test_DB;1479856;AtRisk_mortality;1;1;2;1852;;;;;;;;Local_program_3;;
Test_DB;1479856;AtRisk_mortality;0;14;11;1881;;;;;;;;Local_program_3;;
